NAME,FULLNAME,HOMEFIELD,LOCATION
ARI,Arizona Cardinals,University of Phoenix Stadium,"Glendale,Arizona"
ATL,Atlanta Falcons,Georgia Dome,"Atlanta,Georgia"
BAL,Baltimore Ravens,M&T Bank Stadium,"Baltimore,Maryland"
BUF,Buffalo Bills,Ralph Wilson Stadium,"Orchard Park,New York"
CAR,Carolina Panthers,Bank of America Stadium,"Charlotte,North Carolina"
CHI,Chicago Bears,Soldier Field,"Chicago,Illinois"
CIN,Cincinnati Bengals,Paul Brown Stadium,"Cincinnati,Ohio"
CLE,Cleveland Browns,FirstEnergy Stadium,"Cleveland,Ohio"
DAL,Dallas Cowboys,Cowboys Stadium,"Arlington,Texas"
DEN,Denver Broncos,Sports Authority Field at Mile High,"Denver,Colorado"
DET,Detroit Lions,Ford Field,"Detroit,Michigan"
GB,Green Bay Packers,Lambeau Field,"Green Bay,Wisconsin"
HOU,Houston Texans,Reliant Stadium,"Houston,Texas"
IND,Indinapolis Colts,Lucas Oil Stadium,"Indianapolis,Indiana"
JAC,Jacksonville Jaquars,EverBank Field,"Jacksonville,Florida"
KC,Kansas City Chiefs,Arrowhead Stadium,"Kansas City,Missouri"
MIA,Miami Dolphins,Sun Life Stadium,"Miami Gardens,Florida"
MIN,Minnesota Vikings,Mall of America Field,"Minneapolis,Minnesota"
NE,New England Patriots,Gillette Stadium,"Foxborough,Massachusetts"
NO,New Orleans Saints,Mercedes-Benz Superdome,"New Orleans,Louisiana"
NYG,New York Giants,MetLife Stadium,"East Rutherford,New Jersey"
NYJ,New York Jets,MetLife Stadium,"East Rutherford,New Jersey"
OAK,Oakland Raiders,O.co Coliseum,"Oakland,California"
PHI,Philladelphia Eagles,Lincoln Financial Field,"Philadelphia,Pennsylvania"
PIT,Pittsburgh Steelers,Heinz Field,"Pittsburgh,Pennsylvania"
SD,San Diego Chargers,Qualcomm Stadium,"San Diego,California"
SF,San Francisco 49ers,Candlestick Park,"San Francisco,California"
SEA,Seattle Seahawks,CenturyLink Field,"Seattle,Washington"
STL,St. Lous Rams,Edward Jones Dome,"St. Louis,Missouri"
TB,Tampa Bay Buccaneers,Raymond James Stadium,"Tampa,Florida"
TEN,Tennesse Titans,LP Field,"Nashville,Tennessee"
WAS,Washington Redskins,FedExField,"Landover,Maryland"